Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,78.108,78.108,screen dark,14.462539766400003
0,6.911,6.911,wifi running,0.09536986491999999
6.911,12.049,5.138,wifi scan,1.1690013566
12.049,16.888,4.839000000000002,wifi radio,1.3120804781700006
16.888,76.888,60.0,wifi running,0.8279832
76.888,78.108,1.2199999999999989,wifi radio,0.3307993765999997

