Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,78.195,78.195,screen dark,14.485279691999997
0,6.995,6.995,wifi radio,1.8975421139500004
6.995,50.548,43.553000000000004,wifi running,0.6012944601200001
50.548,50.635,0.08699999999999619,wifi running,0.0012011254799999475
50.635,55.742,5.106999999999999,wifi scan,1.1624803643
55.742,65.836,10.094000000000001,wifi radio,2.738211593740001
65.836,68.17,2.334000000000003,wifi running,0.03222329736000004
68.17,78.195,10.024999999999991,wifi radio,2.719493880249998

