Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,108.30199999999999,108.30199999999999,screen dark,20.195637110399996
0,1.775,1.775,wifi scan,0.4067160449999999
1.775,4.211,2.4360000000000004,wifi running,0.03385474848
4.211,4.212,0.0009999999999994458,wifi scan,0.00022913579999987298
4.212,9.251,5.039,wifi running,0.07003040951999999
9.251,12.107,2.856,wifi scan,0.6544118447999999
12.107,12.181,0.07399999999999984,wifi running,0.0010284283199999977
12.181,12.96,0.7790000000000017,wifi scan,0.17849678820000037
12.96,17.977,5.0169999999999995,wifi running,0.06972466055999998
17.977,20.835,2.8580000000000005,wifi scan,0.6548701164
20.835,108.30199999999999,87.46699999999998,wifi running,1.2155883765599997

