Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,108.197,108.197,screen dark,20.1760572144
0,1.8159999999999998,1.8159999999999998,wifi scan,0.4161106127999999
1.8159999999999998,4.216,2.4000000000000004,wifi running,0.033354432
4.216,4.217,0.0009999999999994458,wifi scan,0.00022913579999987298
4.217,9.261,5.044,wifi running,0.07009989791999999
9.261,12.103,2.8420000000000005,wifi scan,0.6512039436
12.103,99.065,86.962,wifi running,1.20857004816
99.065,101.919,2.853999999999999,wifi scan,0.6539535731999997
101.919,108.197,6.278000000000006,wifi running,0.08724963504000008

