Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,108.51599999999999,108.51599999999999,screen dark,20.0929093728
0,1.8319999999999999,1.8319999999999999,wifi scan,0.41681792239999993
1.8319999999999999,4.252,2.42,wifi running,0.033395322399999997
4.252,4.253,0.001000000000000334,wifi scan,0.000227520700000076
4.253,9.28,5.026999999999999,wifi running,0.06937119243999999
9.28,12.127,2.8470000000000013,wifi scan,0.6477514329000003
12.127,48.223,36.096,wifi running,0.49811469311999995
48.223,51.057,2.834000000000003,wifi scan,0.6447936638000007
51.057,108.51599999999999,57.45899999999999,wifi running,0.7929181114799998

