Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,108.565,108.565,screen dark,20.106585408
0,1.76,1.76,wifi scan,0.40052812800000004
1.76,4.155,2.3950000000000005,wifi running,0.03305789760000001
4.155,4.156,0.0009999999999994458,wifi scan,0.0002275727999998739
4.156,9.197,5.0409999999999995,wifi running,0.06958031808
9.197,12.042,2.8450000000000006,wifi scan,0.6474446160000003
12.042,12.127,0.08500000000000085,wifi running,0.001173244800000012
12.127,12.143,0.016000000000000014,wifi scan,0.0036411648000000034
12.143,17.162,5.018999999999998,wifi running,0.06927665471999998
17.162,20.007,2.8450000000000024,wifi scan,0.6474446160000006
20.007,108.565,88.55799999999999,wifi running,1.22235544704

