Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,108.293,108.293,screen dark,20.065393384000004
0,1.8559999999999999,1.8559999999999999,wifi scan,0.422568512
1.8559999999999999,4.295,2.439,wifi running,0.0336806388
4.295,4.296,0.001000000000000334,wifi scan,0.00022767700000007605
4.296,9.346,5.05,wifi running,0.06973646
9.346,12.194,2.8480000000000008,wifi scan,0.6484240960000002
12.194,96.082,83.88799999999999,wifi running,1.1584261696
96.082,98.919,2.8370000000000033,wifi scan,0.6459196490000008
98.919,108.293,9.37400000000001,wifi running,0.12944744080000015

