Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,108.36,108.36,screen dark,20.082402144
0,1.087,1.087,wifi running,0.01501403532
1.087,3.969,2.8819999999999997,wifi scan,0.6563152662
3.969,6.534,2.565,wifi running,0.035428703400000004
6.534,6.535,0.001000000000000334,wifi scan,0.00022772910000007606
6.535,11.603,5.068,wifi running,0.07000104048
11.603,14.456,2.8529999999999998,wifi scan,0.6497111222999999
14.456,108.36,93.904,wifi running,1.29703585344

