Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,108.14500000000001,108.14500000000001,screen dark,20.15260446
0,1.911,1.911,wifi running,0.026540350199999996
1.911,4.805,2.8939999999999997,wifi scan,0.6626666729999998
4.805,7.275,2.4700000000000006,wifi running,0.034303854
7.275,7.276,0.0009999999999994458,wifi scan,0.00022897949999987308
7.276,11.496,4.220000000000001,wifi running,0.058608204000000004
11.496,15.173,3.6769999999999996,wifi scan,0.8419576214999999
15.173,63.2,48.027,wifi running,0.6670085814
63.2,66.038,2.837999999999994,wifi scan,0.6498438209999985
66.038,108.14500000000001,42.10700000000001,wifi running,0.5847904374000001

