Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,108.84,108.84,screen dark,20.148286656
0,1.72,1.72,wifi scan,0.391245992
1.72,4.155,2.4350000000000005,wifi running,0.033594623600000005
4.155,4.156,0.0009999999999994458,wifi scan,0.00022746859999987393
4.156,9.205,5.049,wifi running,0.06965883144
9.205,12.043,2.837999999999999,wifi scan,0.6455558867999998
12.043,42.056,30.012999999999998,wifi running,0.41407615527999997
42.056,44.911,2.855000000000004,wifi scan,0.6494228530000009
44.911,108.84,63.929,wifi running,0.88200028424

