Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,108.207,108.207,screen dark,20.0402826624
0,1.99,1.99,wifi running,0.027467731200000005
1.99,4.908,2.918,wifi scan,0.6640574304000001
4.908,7.483,2.5749999999999993,wifi running,0.03554241599999999
7.483,7.484,0.001000000000000334,wifi scan,0.00022757280000007603
7.484,12.548,5.064,wifi running,0.06989778432
12.548,15.397,2.849,wifi scan,0.6483549072000001
15.397,108.207,92.80999999999999,wifi running,1.2810452928

