Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,108.189,108.189,screen dark,20.0048385096
0,1.7970000000000002,1.7970000000000002,wifi scan,0.4082929557
1.7970000000000002,21.203,19.406,wifi running,0.26742942855999996
21.203,24.082,2.8790000000000013,wifi scan,0.6541321199000003
24.082,26.757,2.6750000000000007,wifi running,0.03686353300000001
26.757,31.777,5.02,wifi running,0.0691794152
31.777,34.63,2.8530000000000015,wifi scan,0.6482247093000003
34.63,108.189,73.559,wifi running,1.01369892484

