Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,108.28399999999999,108.28399999999999,screen dark,20.0545433088
0,1.817,1.817,wifi scan,0.4134997776
1.817,4.199,2.3819999999999997,wifi running,0.03287846016
4.199,4.2,0.001000000000000334,wifi scan,0.00022757280000007603
4.2,9.235,5.034999999999999,wifi running,0.0694975008
9.235,12.083,2.8480000000000008,wifi scan,0.6481273344000003
12.083,45.477,33.394,wifi running,0.46093337472
45.477,48.333,2.8560000000000016,wifi scan,0.6499479168000004
48.333,108.28399999999999,59.95099999999999,wifi running,0.82749645888

