Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,108.088,108.088,screen dark,20.1373996928
0,1.529,1.529,wifi running,0.02123022616
1.529,4.401,2.872,wifi scan,0.6574794928
4.401,6.905,2.5040000000000004,wifi running,0.03476814016000001
6.905,6.906,0.0009999999999994458,wifi scan,0.00022892739999987312
6.906,11.959,5.053,wifi running,0.07016110712000001
11.959,14.795,2.8360000000000003,wifi scan,0.6492381064000001
14.795,108.088,93.29299999999999,wifi running,1.29537703672

