Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,108.344,108.344,screen dark,20.0794368576
0,1.8279999999999998,1.8279999999999998,wifi scan,0.4162887948
1.8279999999999998,4.231,2.403,wifi running,0.03319110108
4.231,4.232,0.001000000000000334,wifi scan,0.00022772910000007606
4.232,9.298,5.066,wifi running,0.06997341576
9.298,12.154,2.856,wifi scan,0.6503943096
12.154,103.87700000000001,91.72300000000001,wifi running,1.2669110962800003
103.87700000000001,106.735,2.85799999999999,wifi scan,0.6508497677999977
106.735,108.344,1.6089999999999947,wifi running,0.022224087239999926

