Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,108.523,108.523,screen dark,19.9561642424
0,15.868,15.868,wifi running,0.21746967056
15.868,18.712,2.8439999999999994,wifi scan,0.6426236987999998
18.712,21.08,2.3679999999999986,wifi running,0.03245325055999998
21.08,25.713,4.633000000000003,wifi running,0.06349489436000003
25.713,28.554,2.8409999999999975,wifi scan,0.6419458256999994
28.554,31.152,2.5980000000000025,wifi running,0.03560538216000003
31.152,31.153,0.0009999999999976694,wifi scan,0.00022595769999947336
31.153,108.523,77.37,wifi running,1.0603496604

