Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,108.607,108.607,screen dark,20.105154068799997
0,2.8609999999999998,2.8609999999999998,wifi running,0.039471958159999994
2.8609999999999998,5.781,2.92,wifi scan,0.664208312
5.781,8.414,2.633,wifi running,0.036326342479999996
8.414,11.381,2.9670000000000005,wifi running,0.04093439352000001
11.381,14.234,2.8529999999999998,wifi scan,0.6489679157999999
14.234,108.607,94.373,wifi running,1.30202275688

