Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,57.337,57.337,screen dark,10.546063214400002
0,32.68,32.68,wifi running,0.44798005440000005
32.68,35.533,2.8530000000000015,wifi scan,0.6448059594000004
35.533,57.337,21.804000000000002,wifi running,0.29889097632000006

