Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,110.76400000000001,110.76400000000001,screen dark,20.499758064000005
0,2.882,2.882,wifi running,0.0397525788
2.882,2.941,0.05899999999999972,wifi scan,0.013417573499999938
2.941,3.156,0.2150000000000003,wifi running,0.0029655810000000045
3.156,23.71,20.554000000000002,wifi running,0.2835095436
23.71,26.559,2.849,wifi scan,0.6479096085000001
26.559,110.76400000000001,84.20500000000001,wifi running,1.1614732470000002

