Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,108.26599999999999,108.26599999999999,screen dark,20.1430192192
0,1.8090000000000002,1.8090000000000002,wifi scan,0.41356417320000005
1.8090000000000002,4.152,2.343,wifi running,0.03248822544
4.152,4.153,0.0009999999999994458,wifi scan,0.00022861479999987332
4.153,9.215,5.062,wifi running,0.07019009696
9.215,12.054,2.8390000000000004,wifi scan,0.6490374172000001
12.054,108.26599999999999,96.21199999999999,wifi running,1.3340832889599998

