Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,108.414,108.414,screen dark,20.216522332799997
0,1.783,1.783,wifi scan,0.40854913139999993
1.783,4.21,2.427,wifi running,0.03372966936
4.21,4.212,0.0019999999999997797,wifi scan,0.00045827159999994947
4.212,9.268,5.056000000000001,wifi running,0.07026667008000001
9.268,12.107,2.8389999999999986,wifi scan,0.6505165361999996
12.107,90.693,78.586,wifi running,1.09216308048
90.693,93.551,2.858000000000004,wifi scan,0.6548701164000008
93.551,108.414,14.863,wifi running,0.20656121783999998

