Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,78.275,78.275,screen dark,14.596346279999999
0,3.738,3.738,wifi scan,0.8565096203999999
3.738,13.689,9.951,wifi radio,2.7173376808200005
13.689,17.745,4.056000000000001,wifi running,0.05636899008000001
17.745,23.02,5.274999999999999,wifi scan,1.2086913449999996
23.02,57.728,34.708,wifi running,0.48236067743999994
57.728,62.836,5.107999999999997,wifi scan,1.1704256663999992
62.836,78.275,15.439000000000007,wifi running,0.2145662815200001

